district,year,subgroup,sampleN,indicator,crudeWeightedPercent,standardErrorPP,relativeStandardErrorPercent,ageStandardizedPercent,confidenceInterval,period,denominator,rateType,sourceSheet,excelRow,excelColumn,pdfPage
부산진구,2024,전체,903,심폐소생술 교육 경험률,26.7,2.2,8.2,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",6,4,207
부산진구,2024,전체,903,마네킹 실습 경험률,24.0,2.2,9.2,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",6,6,207
부산진구,2024,전체,903,AED 실습 경험률,17.2,1.8,10.6,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",6,8,207
부산진구,2024,남자,380,심폐소생술 교육 경험률,32.6,2.7,8.2,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",8,4,207
부산진구,2024,남자,380,마네킹 실습 경험률,30.2,2.8,9.2,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",8,6,207
부산진구,2024,남자,380,AED 실습 경험률,22.0,2.4,10.8,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",8,8,207
부산진구,2024,여자,523,심폐소생술 교육 경험률,21.4,2.2,10.3,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",9,4,207
부산진구,2024,여자,523,마네킹 실습 경험률,18.4,2.2,12.0,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",9,6,207
부산진구,2024,여자,523,AED 실습 경험률,12.8,1.9,14.7,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",9,8,207
부산진구,2024,19-29,108,심폐소생술 교육 경험률,48.0,5.6,11.7,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",11,4,207
