연번,소방관서 구분,관서명,도로명 주소,X좌표,Y좌표,출동가능 인원수,소방차량 유형,차량 대수(대),지역
24,119안전센터,온천119안전센터,부산 동래구 우장춘로 196,129.0775932358038,35.2232656753762,30,"펌프차, 물탱크차, 구급차",3,동래구
25,119안전센터,양정119안전센터,부산 부산진구 연수로 50,129.07668873040873,35.17478045221965,38,"펌프차, 구급차",4,부산진구
26,119안전센터,사직119안전센터,부산 동래구 체육공원로 74,129.05923583192362,35.19466137950707,32,"펌프차, 물탱크차, 구급차",3,동래구
27,구조대,구조대,부산 동래구 명륜로45번길 7,129.08380743824864,35.198147184336904,24,"구조공작차, 구조버스, 생활안전차, 트레일러",4,동래구
28,소방서,북부소방서,부산 북구 금곡대로 680,129.01762204896536,35.267354455216555,0,"장비운반차, 지휘차, 화재조사차",6,북구
29,119안전센터,금곡119안전센터,부산 북구 금곡대로 680,129.01762204896536,35.267354455216555,47,"펌프차, 산불진화차, 물탱크차, 화학차, 사다리차, 굴절차, 구급차, 배수지원차",8,북구
30,119안전센터,구포119안전센터,부산 북구 만덕대로 31,129.00835763848977,35.21113816289279,39,"펌프차, 물탱크차, 구급차",4,북구
31,119안전센터,화명119안전센터,부산 북구 금곡대로 184,129.01030025305653,35.22526915297447,33,"펌프차, 물탱크차, 구급차, 배연차",4,북구
32,119안전센터,만덕119안전센터,부산 북구 함박봉로 142,129.0331870410847,35.20480351077376,31,"펌프차, 물탱크차, 구급차",6,북구
33,구조대,구조대,부산 북구 금곡대로 680,129.01762204896536,35.267354455216555,24,"구조공작차, 구조버스, 생활안전차",3,북구
34,소방서,사상소방서,부산 사상구 사상로 363 에이로빌딩 2-3층,128.9844299262325,35.177289876524824,0,"장비운반차, 지휘차, 화재조사차",6,사상구
35,119안전센터,삼락119안전센터,부산 사상구 낙동대로 1422,128.97806910434747,35.18684365607801,61,"펌프차, 물탱크차, 화학차, 사다리차, 굴절차, 구급차, 배연차, 배수지원차",10,사상구
36,119안전센터,감전119안전센터,부산 사상구 가야대로 41,128.97738115900296,35.15186028758929,30,"펌프차, 물탱크차, 구급차",3,사상구
37,119안전센터,주례119안전센터,부산 사상구 양지로 22,129.00413829455934,35.1538842275362,30,"펌프차, 물탱크차, 구급차",3,사상구
38,119안전센터,모라119안전센터,부산 사상구 백양대로 950,128.992256890179,35.19096131470302,29,"펌프차, 물탱크차, 구급차",3,사상구
39,119안전센터,학장119안전센터,부산 사상구 학감대로 89,128.99045297999672,35.13967256892969,30,"펌프차, 물탱크차, 구급차",3,사상구
40,구조대,구조대,부산 북구 구포동 1067-15,128.9945733896349,35.203501199630644,25,"구조공작차, 구조버스, 생활안전차",5,북구
41,소방서,사하소방서,부산 사하구 장평로 270,128.97390278423708,35.09042990713857,0,"장비운반차, 지휘차, 화재조사차",6,사하구
42,119안전센터,신평119안전센터,부산 사하구 장평로 270,128.97390278423708,35.09042990713857,60,"펌프차, 물탱크차, 화학차, 사다리차, 굴절차, 구급차, 배연차, 배수지원차",11,사하구
43,119안전센터,괴정119안전센터,부산 사하구 낙동대로 262,128.9883813032473,35.09941353797505,32,"펌프차, 물탱크차, 구급차",3,사하구
