행정동코드,행정동명,나이대,평균주거인구수,평균직장인구수,평균방문인구수,aggregation,months
2614054000,서구 서대신1동,20대,1123.75,174.58333333333334,315.5833333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614054000,서구 서대신1동,20대미만,1228.75,26.916666666666668,226.83333333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614054000,서구 서대신1동,30대,1323.0833333333333,185.33333333333334,304.25,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614054000,서구 서대신1동,40대,1738.4166666666667,216.91666666666666,373.4166666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614054000,서구 서대신1동,50대,1617.6666666666667,249.58333333333334,460.3333333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614054000,서구 서대신1동,60대이상,3809.8333333333335,237.83333333333334,825.5,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614056000,서구 서대신3동,20대,256.25,47.333333333333336,92.41666666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614056000,서구 서대신3동,20대미만,321.6666666666667,93.66666666666667,134.91666666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614056000,서구 서대신3동,30대,278.6666666666667,63.833333333333336,113.08333333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614056000,서구 서대신3동,40대,407.3333333333333,78.91666666666667,152.91666666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614056000,서구 서대신3동,50대,490.0,70.83333333333333,194.91666666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614056000,서구 서대신3동,60대이상,1049.0,78.75,345.8333333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614057000,서구 서대신4동,20대,473.1666666666667,65.66666666666667,199.58333333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614057000,서구 서대신4동,20대미만,570.9166666666666,69.08333333333333,145.5,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614057000,서구 서대신4동,30대,456.3333333333333,59.166666666666664,145.75,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614057000,서구 서대신4동,40대,751.1666666666666,88.0,214.66666666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614057000,서구 서대신4동,50대,828.5833333333334,102.08333333333333,293.3333333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614057000,서구 서대신4동,60대이상,1966.0833333333333,102.91666666666667,586.0833333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614059000,서구 부민동,20대,604.3333333333334,203.66666666666666,331.4166666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614059000,서구 부민동,20대미만,406.25,51.916666666666664,140.91666666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614059000,서구 부민동,30대,354.0833333333333,72.58333333333333,125.58333333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614059000,서구 부민동,40대,474.1666666666667,83.33333333333333,140.83333333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614059000,서구 부민동,50대,523.4166666666666,94.58333333333333,189.66666666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614059000,서구 부민동,60대이상,1311.4166666666667,79.0,287.5833333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614061500,서구 아미동,20대,510.9166666666667,67.66666666666667,246.91666666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
