snapshot,year,quarter,level,dictionarySignature,shops,categoryCode,category,denominatorShops,sharePct,districtCode,district,lawDongCode,lawDong
20200331,2020,1,district,62f6a938f48b,132,R1,예술·스포츠,6480,2.037037037037037,26170,동구,,
20200331,2020,1,district,62f6a938f48b,604,S2,수리·개인,6480,9.320987654320987,26170,동구,,
20200331,2020,1,district,62f6a938f48b,924,G2,소매,3845,24.03120936280884,26200,영도구,,
20200331,2020,1,district,62f6a938f48b,82,I1,숙박,3845,2.1326397919375815,26200,영도구,,
20200331,2020,1,district,62f6a938f48b,1570,I2,음식,3845,40.83224967490247,26200,영도구,,
20200331,2020,1,district,62f6a938f48b,117,L1,부동산,3845,3.0429128738621585,26200,영도구,,
20200331,2020,1,district,62f6a938f48b,151,M1,과학·기술,3845,3.9271781534460337,26200,영도구,,
20200331,2020,1,district,62f6a938f48b,173,N1,시설관리·임대,3845,4.499349804941483,26200,영도구,,
20200331,2020,1,district,62f6a938f48b,84,P1,교육,3845,2.184655396618986,26200,영도구,,
20200331,2020,1,district,62f6a938f48b,30,Q1,보건의료,3845,0.7802340702210663,26200,영도구,,
20200331,2020,1,district,62f6a938f48b,147,R1,예술·스포츠,3845,3.823146944083225,26200,영도구,,
20200331,2020,1,district,62f6a938f48b,567,S2,수리·개인,3845,14.746423927178153,26200,영도구,,
20200331,2020,1,district,62f6a938f48b,5384,G2,소매,18688,28.809931506849313,26230,부산진구,,
20200331,2020,1,district,62f6a938f48b,287,I1,숙박,18688,1.5357448630136987,26230,부산진구,,
20200331,2020,1,district,62f6a938f48b,6433,I2,음식,18688,34.423159246575345,26230,부산진구,,
20200331,2020,1,district,62f6a938f48b,742,L1,부동산,18688,3.9704623287671232,26230,부산진구,,
20200331,2020,1,district,62f6a938f48b,1292,M1,과학·기술,18688,6.913527397260274,26230,부산진구,,
