district,rawDong,residentCandidates,livingCandidates,commerceExactLawCode,commerceSnapshots,housingCandidateNames,aedOperatingEvidence,officialCaseEvidence,officialInspectionSites,candidateCodes,actualReceiptDongConfirmed
영도구,대교동2가,1,1,True,20,1,False,False,0,2620053000,False
영도구,대평동1가,1,1,True,20,1,False,False,0,2620053000,False
영도구,대평동2가,1,1,True,20,1,False,False,0,2620053000,False
영도구,동삼동,3,3,True,20,0,False,False,0,2620065000|2620066000|2620067000,False
영도구,봉래동1가,1,1,True,20,0,False,False,0,2620059000,False
영도구,봉래동2가,1,1,True,20,0,False,False,0,2620059000,False
영도구,봉래동3가,1,1,True,20,0,False,False,0,2620059000,False
영도구,봉래동4가,2,2,True,20,1,False,False,0,2620058500|2620060500,False
영도구,봉래동5가,1,1,True,20,0,False,False,0,2620060500,False
영도구,신선동1가,2,2,True,20,1,False,False,0,2620054000|2620058500,False
영도구,신선동2가,1,1,True,20,1,False,False,0,2620058500,False
영도구,신선동3가,1,1,True,20,1,False,False,0,2620058500,False
영도구,영선동1가,1,1,True,20,0,False,False,0,2620054000,False
영도구,영선동2가,2,2,True,20,1,False,False,1,2620054000|2620058500,False
영도구,영선동3가,1,1,True,20,0,False,False,1,2620055000,False
영도구,영선동4가,1,1,True,20,0,False,False,0,2620055000,False
영도구,청학동,2,2,True,20,0,False,False,0,2620063000|2620064000,False
중구,광복동1가,1,1,True,20,1,False,False,0,2611057000,False
중구,광복동2가,1,1,True,20,1,False,False,0,2611057000,False
중구,광복동3가,1,1,True,20,1,False,False,0,2611057000,False
중구,남포동1가,1,1,True,20,1,False,False,0,2611058000,False
중구,남포동2가,1,1,True,20,1,False,False,0,2611058000,False
중구,남포동3가,1,1,True,20,1,False,False,0,2611058000,False
중구,남포동4가,1,1,True,20,1,False,False,0,2611058000,False
중구,남포동5가,1,1,True,20,1,False,False,1,2611058000,False
중구,남포동6가,1,1,True,20,1,False,False,0,2611058000,False
중구,대창동1가,1,1,True,20,1,False,False,0,2611051000,False
중구,대창동2가,1,1,True,20,0,False,False,0,2611059000,False
중구,대청동1가,1,1,True,20,1,False,False,0,2611053000,False
중구,대청동2가,1,1,True,20,1,False,False,0,2611053000,False
중구,대청동3가,1,1,True,20,1,False,False,0,2611053000,False
중구,대청동4가,1,1,True,20,1,False,False,0,2611053000,False
중구,동광동1가,1,1,True,20,1,False,False,0,2611052000,False
중구,동광동2가,1,1,True,20,1,False,False,0,2611052000,False
중구,동광동3가,1,1,True,20,1,False,False,0,2611052000,False
중구,동광동4가,1,1,True,20,1,False,False,0,2611052000,False
중구,동광동5가,1,1,True,20,1,False,False,0,2611052000,False
중구,보수동1가,1,1,True,20,1,False,False,0,2611054500,False
중구,보수동2가,1,1,True,20,1,False,False,0,2611054500,False
중구,보수동3가,1,1,True,20,1,False,False,0,2611054500,False
중구,부평동1가,1,1,True,20,1,False,False,0,2611056000,False
중구,부평동2가,1,1,True,20,1,False,False,0,2611056000,False
중구,부평동3가,1,1,True,20,1,False,False,0,2611056000,False
중구,부평동4가,1,1,True,20,1,False,False,0,2611056000,False
중구,신창동1가,1,1,True,20,1,False,False,0,2611057000,False
중구,신창동2가,1,1,True,20,1,False,False,0,2611057000,False
중구,신창동3가,1,1,True,20,1,False,False,0,2611057000,False
중구,신창동4가,1,1,True,20,1,False,False,0,2611057000,False
중구,영주동,2,2,True,20,0,False,False,0,2611059000|2611060000,False
중구,중앙동1가,1,1,True,20,1,False,False,0,2611051000,False
중구,중앙동2가,1,1,True,20,1,False,False,0,2611051000,False
중구,중앙동3가,1,1,True,20,1,False,False,0,2611051000,False
중구,중앙동4가,1,1,True,20,1,False,False,0,2611051000,False
중구,중앙동5가,1,1,True,20,1,False,False,0,2611051000,False
중구,중앙동6가,1,1,True,20,1,False,False,0,2611051000,False
중구,중앙동7가,1,1,True,20,1,False,False,0,2611051000,False
중구,창선동1가,1,1,True,20,1,False,False,0,2611057000,False
중구,창선동2가,1,1,True,20,1,False,False,0,2611057000,False
해운대구,반송동,2,2,True,20,0,False,False,1,2635061000|2635062000,False
해운대구,반여동,4,4,True,20,0,False,False,0,2635057000|2635058000|2635059000|2635059500,False
해운대구,석대동,1,1,True,20,0,False,False,0,2635061000,False
해운대구,송정동,1,1,True,20,1,False,False,0,2635056000,False
해운대구,우동,3,3,True,20,0,False,True,0,2635051000|2635052000|2635052500,False
해운대구,재송동,2,2,True,20,0,False,False,0,2635065000|2635066000,False
해운대구,좌동,4,4,True,20,0,False,False,0,2635055100|2635055200|2635055300|2635055400,False
해운대구,중동,2,2,True,20,0,False,False,0,2635053000|2635054000,False
