CLMTY_SGG_NM,CLMTY_EMD_NM,EMRG_RSCU_ASSRT_NM,EMRG_RSCU_CLSF_NM,scope,period,priorStable,beforeMobile,afterMobile,mobileRetention,beforeWeekendRatio,afterWeekendRatio,weekendDirectionReversed,weekendBeyond09_11,dayShareChangePP,hourTVD,beforeAll,afterAll,removedOtherChannels,removedWithinMobile,otherChannelsSurviving
연제구,거제동,화재,일반화재(주택),A,2021,False,8,7,0.875,17.567307692307693,15.05769230769231,False,False,-7.142857142857145,0.12499999999999997,9,7,1,1,0
연제구,거제동,화재,일반화재(주택),A,2022,False,11,9,0.8181818181818182,0.24761904761904763,0.30952380952380953,False,False,-10.1010101010101,0.1212121212121212,16,9,5,2,0
연제구,거제동,화재,일반화재(주택),A,2023,False,6,2,0.3333333333333333,0.0,0.0,False,False,0.0,0.16666666666666666,6,2,0,4,0
연제구,거제동,화재,일반화재(주택),A,2024,False,13,7,0.5384615384615384,0.4580419580419581,0.4198717948717949,False,False,-5.494505494505497,0.18681318681318682,14,7,1,6,0
연제구,거제동,화재,일반화재(주택),B,2020,False,5,2,0.4,0.6298076923076924,0.0,False,False,-9.999999999999998,0.6,7,2,2,3,0
연제구,거제동,화재,일반화재(주택),B,2020–2024,False,27,18,0.6666666666666666,1.0526315789473684,1.25,False,False,-7.4074074074074066,0.2407407407407407,32,18,5,9,0
연제구,거제동,화재,일반화재(주택),B,2021,False,6,5,0.8333333333333334,12.548076923076925,10.03846153846154,False,False,-9.999999999999998,0.1666666666666667,7,5,1,1,0
연제구,거제동,화재,일반화재(주택),B,2022,False,7,6,0.8571428571428571,0.41269841269841273,0.49523809523809526,False,False,-7.14285714285714,0.11904761904761904,8,6,1,1,0
연제구,거제동,화재,일반화재(주택),B,2023,False,3,1,0.3333333333333333,0.0,0.0,False,False,0.0,0.33333333333333337,3,1,0,2,0
연제구,거제동,화재,일반화재(주택),B,2024,False,6,4,0.6666666666666666,0.5038461538461538,0.8397435897435898,False,False,8.333333333333337,0.25,7,4,1,2,0
연제구,거제동,화재,일반화재(주택),C,2020,False,5,2,0.4,0.6298076923076924,0.0,False,False,-9.999999999999998,0.6,7,2,2,3,0
연제구,거제동,화재,일반화재(주택),C,2020–2024,False,27,18,0.6666666666666666,1.0526315789473684,1.25,False,False,-7.4074074074074066,0.2407407407407407,32,18,5,9,0
연제구,거제동,화재,일반화재(주택),C,2021,False,6,5,0.8333333333333334,12.548076923076925,10.03846153846154,False,False,-9.999999999999998,0.1666666666666667,7,5,1,1,0
연제구,거제동,화재,일반화재(주택),C,2022,False,7,6,0.8571428571428571,0.41269841269841273,0.49523809523809526,False,False,-7.14285714285714,0.11904761904761904,8,6,1,1,0
연제구,거제동,화재,일반화재(주택),C,2023,False,3,1,0.3333333333333333,0.0,0.0,False,False,0.0,0.33333333333333337,3,1,0,2,0
연제구,거제동,화재,일반화재(주택),C,2024,False,6,4,0.6666666666666666,0.5038461538461538,0.8397435897435898,False,False,8.333333333333337,0.25,7,4,1,2,0
연제구,연산동,구급,교통사고,A,2020,True,422,273,0.6469194312796208,0.7823698041089346,0.7096424702058505,False,False,1.4131208444004617,0.05611686891307745,557,273,135,149,0
연제구,연산동,구급,교통사고,A,2020–2024,True,1894,1357,0.7164730728616684,0.8749109052031361,0.8555885262116716,False,False,0.5563860276294297,0.02331179639539668,2596,1357,702,537,0
연제구,연산동,구급,교통사고,A,2021,True,445,342,0.7685393258426966,0.7944640418752844,0.8300284346004191,False,False,0.29896839476970527,0.053755174452986394,597,342,152,103,0
연제구,연산동,구급,교통사고,A,2022,True,379,274,0.7229551451187335,0.8517392772711923,0.8660567675346001,False,False,1.8460027348188635,0.062082314196021046,536,274,157,105,0
연제구,연산동,구급,교통사고,A,2023,True,354,252,0.711864406779661,0.9748781402324709,0.9904761904761905,False,False,0.19504977132095425,0.05434490180252893,499,252,145,102,0
연제구,연산동,구급,교통사고,A,2024,True,294,216,0.7346938775510204,1.0588071348940915,0.9247809152872444,True,False,-1.4172335600907027,0.03902116402116401,407,216,113,78,0
연제구,연산동,구급,교통사고,B,2020,True,293,199,0.6791808873720137,0.8823112371499467,0.7789726720647774,False,False,0.7546263741917802,0.08290599756461489,395,199,102,94,0
연제구,연산동,구급,교통사고,B,2020–2024,True,1355,981,0.7239852398523985,0.9251769464105157,0.896814404432133,False,False,-0.25487961301631223,0.029435285178539865,1818,981,463,374,0
연제구,연산동,구급,교통사고,B,2021,True,313,239,0.7635782747603834,0.8188151890482399,0.8225961538461538,False,False,-1.4410416137527249,0.05540925314475917,403,239,90,74,0
연제구,연산동,구급,교통사고,B,2022,True,268,192,0.7164179104477612,0.9269841269841269,0.9689440993788819,False,False,1.6946517412935291,0.060323383084577124,361,192,93,76,0
연제구,연산동,구급,교통사고,B,2023,True,253,180,0.7114624505928854,0.9471766848816028,0.9789590254706534,False,False,-1.3614404918752765,0.06242863416776459,349,180,96,73,0
연제구,연산동,구급,교통사고,B,2024,True,228,171,0.75,1.1161148977604674,0.9831144465290808,True,False,-0.8771929824561431,0.059941520467836254,310,171,82,57,0
연제구,연산동,구급,교통사고,C,2020,True,293,199,0.6791808873720137,0.8823112371499467,0.7789726720647774,False,False,0.7546263741917802,0.08290599756461489,395,199,102,94,0
연제구,연산동,구급,교통사고,C,2020–2024,True,1355,981,0.7239852398523985,0.9251769464105157,0.896814404432133,False,False,-0.25487961301631223,0.029435285178539865,1818,981,463,374,0
연제구,연산동,구급,교통사고,C,2021,True,313,239,0.7635782747603834,0.8188151890482399,0.8225961538461538,False,False,-1.4410416137527249,0.05540925314475917,403,239,90,74,0
연제구,연산동,구급,교통사고,C,2022,True,268,192,0.7164179104477612,0.9269841269841269,0.9689440993788819,False,False,1.6946517412935291,0.060323383084577124,361,192,93,76,0
연제구,연산동,구급,교통사고,C,2023,True,253,180,0.7114624505928854,0.9471766848816028,0.9789590254706534,False,False,-1.3614404918752765,0.06242863416776459,349,180,96,73,0
연제구,연산동,구급,교통사고,C,2024,True,228,171,0.75,1.1161148977604674,0.9831144465290808,True,False,-0.8771929824561431,0.059941520467836254,310,171,82,57,0
연제구,연산동,구급,심정지,A,2020,True,129,85,0.6589147286821705,1.051986475063398,1.2375168690958165,False,False,-1.158230734154131,0.11481988144094847,178,85,49,44,0
