caseId,receiptDistrict,receiptRawDong,receiptSubtype,year,referenceDate,districtCode,district,candidateCode,candidateName,candidateCount,linkStatus,geographyConfirmed,total,age,ageLabel,count,share
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,50,50세,234,0.014227518696418799
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,51,51세,261,0.01586915546908251
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,52,52세,285,0.017328388155894693
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,53,53세,236,0.014349121420319815
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,54,54세,235,0.014288320058369308
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,55,55세,283,0.017206785431993676
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,56,56세,278,0.016902778622241137
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,57,57세,230,0.01398431324861677
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,58,58세,316,0.01921323037636043
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,59,59세,301,0.018301209947102815
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,60,60세,352,0.021402079406578706
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,61,61세,313,0.019030826290508906
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,62,62세,292,0.017753997689548245
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,63,63세,331,0.020125250805618045
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,64,64세,268,0.01629476500273606
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,65,65세,282,0.01714598407004317
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,66,66세,283,0.017206785431993676
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,67,67세,197,0.011977868304250015
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,68,68세,270,0.016416367726637078
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,69,69세,178,0.010822642427190369
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,70,70세,207,0.012585881923755092
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,71,71세,197,0.011977868304250015
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,72,72세,185,0.011248251960843923
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,73,73세,193,0.011734662856447984
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,74,74세,123,0.007478567519912446
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,75,75세,105,0.006384143004803307
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,76,76세,122,0.007417766157961938
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,77,77세,103,0.006262540280902292
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,78,78세,134,0.00814738250136803
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,79,79세,98,0.005958533471149754
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,80,80세,77,0.004681704870189092
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,81,81세,93,0.005654526661397216
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,82,82세,74,0.004499300784337569
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,83,83세,60,0.0036480817170304615
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,84,84세,56,0.0034048762692284306
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,85,85세,38,0.0023104517541192924
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,86,86세,36,0.0021888490302182768
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,87,87세,21,0.0012768286009606615
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,88,88세,31,0.0018848422204657384
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,89,89세,21,0.0012768286009606615
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,90,90세,9,0.0005472122575545692
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,91,91세,11,0.0006688149814555846
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,92,92세,9,0.0005472122575545692
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,93,93세,2,0.00012160272390101538
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,94,94세,1,6.080136195050769e-05
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,95,95세,4,0.00024320544780203075
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,96,96세,3,0.00018240408585152307
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,97,97세,3,0.00018240408585152307
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,98,98세,3,0.00018240408585152307
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,99,99세,0,0.0
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,100,100세 이상,8,0.0004864108956040615
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,0,0세,157,0.007499761154103372
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,1,1세,225,0.010748065348237317
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,2,2세,192,0.009171682430495844
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,3,3세,203,0.009697143403076335
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,4,4세,233,0.011130218782841312
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,5,5세,242,0.011560141396770803
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,6,6세,207,0.009888220120378332
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,7,7세,186,0.008885067354542848
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,8,8세,181,0.008646221457915352
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,9,9세,149,0.007117607719499379
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,10,10세,131,0.006257762491640393
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,11,11세,111,0.00530237890513041
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,12,12세,123,0.0058756090570364
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,13,13세,137,0.006544377567593389
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,14,14세,112,0.005350148084455909
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,15,15세,106,0.005063533008502914
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,16,16세,127,0.006066685774338397
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,17,17세,137,0.006544377567593389
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,18,18세,138,0.006592146746918888
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,19,19세,186,0.008885067354542848
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,20,20세,237,0.011321295500143307
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,21,21세,238,0.011369064679468808
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,22,22세,235,0.011225757141492309
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,23,23세,265,0.012658832521257284
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,24,24세,237,0.011321295500143307
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,25,25세,243,0.011607910576096303
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,26,26세,236,0.011273526320817809
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,27,27세,263,0.012563294162606287
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,28,28세,275,0.013136524314512277
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,29,29세,334,0.01595490589471673
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,30,30세,314,0.014999522308206744
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,31,31세,310,0.014808445590904749
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,32,32세,335,0.016002675074042228
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,33,33세,326,0.015572752460112735
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,34,34세,359,0.01714913537785421
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,35,35세,381,0.01820005732301519
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,36,36세,373,0.0178179038884112
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,37,37세,388,0.018534441578293686
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,38,38세,450,0.021496130696474634
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,39,39세,430,0.02054074710996465
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,40,40세,358,0.01710136619852871
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,41,41세,373,0.0178179038884112
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,42,42세,266,0.012706601700582784
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,43,43세,282,0.01347090856979077
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,44,44세,250,0.011942294831374796
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,45,45세,263,0.012563294162606287
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,46,46세,282,0.01347090856979077
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,47,47세,333,0.01590713671539123
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,48,48세,312,0.014903983949555747
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,49,49세,308,0.01471290723225375
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,50,50세,339,0.016193751791344226
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,51,51세,291,0.013900831183720264
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,52,52세,363,0.017340212095156207
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,53,53세,349,0.016671443584599217
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,54,54세,289,0.013805292825069265
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,55,55세,331,0.01581159835674023
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,56,56세,264,0.012611063341931785
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,57,57세,276,0.013184293493837776
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,58,58세,306,0.014617368873602751
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,59,59세,312,0.014903983949555747
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,60,60세,401,0.019155440909525173
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647066000,연산제2동,8,복수 코드 후보·각각 표시,False,20934,61,61세,278,0.013279831852488775
