행정동코드,행정동명,시간대,평균주거인구수,평균직장인구수,평균방문인구수,aggregation,months
2611053000,중구 대청동,09시,4098.416666666667,2378.25,2085.0,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611053000,중구 대청동,10시,3826.0,2583.6666666666665,2574.75,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611053000,중구 대청동,11시,3648.6666666666665,2705.8333333333335,3058.5,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611053000,중구 대청동,12시,3536.9166666666665,2694.5833333333335,3371.5833333333335,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611053000,중구 대청동,13시,3450.25,2825.5,3610.1666666666665,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611053000,중구 대청동,14시,3388.5,2852.5833333333335,3836.8333333333335,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611053000,중구 대청동,15시,3386.1666666666665,2829.3333333333335,3741.5833333333335,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611053000,중구 대청동,16시,3470.0833333333335,2725.5,3391.9166666666665,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611053000,중구 대청동,17시,3612.0833333333335,2443.3333333333335,2920.6666666666665,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611053000,중구 대청동,18시,3805.8333333333335,1776.6666666666667,2547.9166666666665,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611053000,중구 대청동,19시,4031.1666666666665,1060.9166666666667,2170.6666666666665,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611053000,중구 대청동,20시,4594.25,471.6666666666667,1752.5,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611053000,중구 대청동,21시,4814.833333333333,293.5,1384.1666666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611053000,중구 대청동,22시,5025.583333333333,179.25,1175.75,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611053000,중구 대청동,23시,5148.25,131.33333333333334,1101.0833333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611054500,중구 보수동,00시,7235.916666666667,66.58333333333333,925.4166666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611054500,중구 보수동,01시,7339.416666666667,58.083333333333336,872.1666666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611054500,중구 보수동,02시,7435.833333333333,53.416666666666664,836.4166666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611054500,중구 보수동,03시,7499.166666666667,52.25,818.6666666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611054500,중구 보수동,04시,7531.833333333333,52.0,806.6666666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611054500,중구 보수동,05시,7515.916666666667,54.166666666666664,841.5833333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611054500,중구 보수동,06시,7355.833333333333,65.83333333333333,914.75,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611054500,중구 보수동,07시,7029.416666666667,139.16666666666666,1017.3333333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611054500,중구 보수동,08시,6400.0,424.75,1184.0,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
