year,dictionarySignature,districtCode,district,lawDongCode,lawDong,categoryCode,category,quarters,minSharePct,maxSharePct,spreadPP
2020,62f6a938f48b,26110,중구,2611010500,중앙동2가,I2,음식,4,45.378151260504204,47.89915966386555,2.5210084033613427
2020,62f6a938f48b,26110,중구,2611010500,중앙동2가,M1,과학·기술,4,8.771929824561404,10.256410256410257,1.4844804318488531
2020,62f6a938f48b,26110,중구,2611010500,중앙동2가,N1,시설관리·임대,4,8.403361344537815,9.243697478991596,0.8403361344537803
2020,62f6a938f48b,26110,중구,2611010500,중앙동2가,P1,교육,4,2.5210084033613445,2.6315789473684212,0.11057054400707678
2020,62f6a938f48b,26110,중구,2611010500,중앙동2가,Q1,보건의료,4,0.8403361344537815,0.8771929824561403,0.03685684800235878
2020,62f6a938f48b,26110,중구,2611010500,중앙동2가,R1,예술·스포츠,4,2.5210084033613445,2.6315789473684212,0.11057054400707678
2020,62f6a938f48b,26110,중구,2611010500,중앙동2가,S2,수리·개인,4,5.882352941176471,7.563025210084033,1.6806722689075624
2020,62f6a938f48b,26110,중구,2611010600,중앙동3가,G2,소매,4,15.044247787610619,17.117117117117118,2.0728693295064993
2020,62f6a938f48b,26110,중구,2611010600,중앙동3가,I2,음식,4,38.59649122807018,40.54054054054054,1.9440493124703622
2020,62f6a938f48b,26110,중구,2611010600,중앙동3가,L1,부동산,4,0.8771929824561403,0.9009009009009009,0.02370791844476061
2020,62f6a938f48b,26110,중구,2611010600,중앙동3가,M1,과학·기술,4,17.699115044247787,19.29824561403509,1.5991305697873024
2020,62f6a938f48b,26110,중구,2611010600,중앙동3가,N1,시설관리·임대,4,10.81081081081081,14.15929203539823,3.3484812245874203
