year,행정동코드,행정동명,나이대,평균주거인구수,평균직장인구수,평균방문인구수,observedMonths,nameMissing
2023,2611060000,중구 영주2동,40대,588.0,74.83333333333333,182.5,12,False
2023,2611060000,중구 영주2동,50대,924.4166666666666,92.83333333333333,241.41666666666666,12,False
2023,2611060000,중구 영주2동,60대이상,2657.9166666666665,96.33333333333333,484.5,12,False
2023,2614051000,서구 동대신1동,20대,384.6666666666667,45.25,165.5,12,False
2023,2614051000,서구 동대신1동,20대미만,325.25,23.25,120.5,12,False
2023,2614051000,서구 동대신1동,30대,412.9166666666667,51.083333333333336,153.91666666666666,12,False
2023,2614051000,서구 동대신1동,40대,507.0,58.083333333333336,182.58333333333334,12,False
2023,2614051000,서구 동대신1동,50대,587.1666666666666,75.25,224.66666666666666,12,False
2023,2614051000,서구 동대신1동,60대이상,1528.3333333333333,83.75,409.5833333333333,12,False
2023,2614052000,서구 동대신2동,20대,204.83333333333334,14.916666666666666,61.833333333333336,12,False
2023,2614052000,서구 동대신2동,20대미만,123.83333333333333,16.083333333333332,53.333333333333336,12,False
