year,행정동코드,행정동명,시간대,평균주거인구수,평균직장인구수,평균방문인구수,observedMonths,nameMissing
2023,2611052000,중구 동광동,11시,1260.0833333333333,919.4166666666666,1419.3333333333333,12,False
2023,2611052000,중구 동광동,12시,1225.8333333333333,906.6666666666666,1420.9166666666667,12,False
2023,2611052000,중구 동광동,13시,1187.6666666666667,954.0,1386.0,12,False
2023,2611052000,중구 동광동,14시,1158.0,962.5,1407.8333333333333,12,False
2023,2611052000,중구 동광동,15시,1157.75,961.75,1341.3333333333333,12,False
2023,2611052000,중구 동광동,16시,1185.9166666666667,942.0,1252.5833333333333,12,False
2023,2611052000,중구 동광동,17시,1238.4166666666667,844.0833333333334,1202.5,12,False
2023,2611052000,중구 동광동,18시,1321.0833333333333,575.4166666666666,1223.75,12,False
2023,2611052000,중구 동광동,19시,1399.1666666666667,330.25,1211.9166666666667,12,False
2023,2611052000,중구 동광동,20시,1549.8333333333333,177.58333333333334,1200.1666666666667,12,False
2023,2611052000,중구 동광동,21시,1631.0833333333333,128.08333333333334,1147.0833333333333,12,False
2023,2611052000,중구 동광동,22시,1682.6666666666667,85.25,1070.5,12,False
2023,2611052000,중구 동광동,23시,1700.75,59.75,999.25,12,False
2023,2611053000,중구 대청동,00시,5562.916666666667,118.0,1284.5833333333333,12,False
2023,2611053000,중구 대청동,01시,5640.25,114.08333333333333,1275.4166666666667,12,False
2023,2611053000,중구 대청동,02시,5701.916666666667,113.33333333333333,1261.4166666666667,12,False
2023,2611053000,중구 대청동,03시,5743.583333333333,113.33333333333333,1248.8333333333333,12,False
2023,2611053000,중구 대청동,04시,5767.75,114.33333333333333,1242.0833333333333,12,False
2023,2611053000,중구 대청동,05시,5746.5,122.66666666666667,1272.5833333333333,12,False
2023,2611053000,중구 대청동,06시,5621.666666666667,150.75,1415.3333333333333,12,False
2023,2611053000,중구 대청동,07시,5412.75,387.5,1575.1666666666667,12,False
2023,2611053000,중구 대청동,08시,5007.583333333333,1221.6666666666667,1862.5,12,False
2023,2611053000,중구 대청동,09시,4265.666666666667,2426.6666666666665,2316.5833333333335,12,False
2023,2611053000,중구 대청동,10시,3979.8333333333335,2709.75,2778.0,12,False
2023,2611053000,중구 대청동,11시,3781.0,2847.8333333333335,3294.6666666666665,12,False
2023,2611053000,중구 대청동,12시,3655.4166666666665,2870.25,3661.9166666666665,12,False
2023,2611053000,중구 대청동,13시,3553.4166666666665,2988.1666666666665,3938.0,12,False
