snapshot,fieldStudyArea,district,lawDong,categoryCode,category,shops,denominatorShops,sharePct
20240331,광안역 주변,수영구,광안동,N108,기타 사업 서비스,18,3347,0.537795040334628
20240331,광안역 주변,수영구,광안동,N109,운송장비 대여,3,3347,0.089632506722438
20240331,광안역 주변,수영구,광안동,N110,가정용품 대여,14,3347,0.41828503137137735
20240331,광안역 주변,수영구,광안동,N111,산업용품 대여,22,3347,0.6573050492978787
20240331,광안역 주변,수영구,광안동,P105,일반 교육,23,3347,0.6871825515386913
20240331,광안역 주변,수영구,광안동,P106,기타 교육,90,3347,2.68897520167314
20240331,광안역 주변,수영구,광안동,P107,교육 지원,12,3347,0.358530026889752
20240331,광안역 주변,수영구,광안동,Q101,병원,11,3347,0.32865252464893935
20240331,광안역 주변,수영구,광안동,Q102,의원,47,3347,1.4042426053181953
20240331,광안역 주변,수영구,광안동,Q104,기타 보건,4,3347,0.11951000896325067
20240331,광안역 주변,수영구,광안동,R102,도서관·사적지,9,3347,0.268897520167314
20240331,광안역 주변,수영구,광안동,R103,스포츠 서비스,47,3347,1.4042426053181953
20240331,광안역 주변,수영구,광안동,R104,유원지·오락,34,3347,1.0158350761876307
20240331,광안역 주변,수영구,광안동,S201,컴퓨터 수리,9,3347,0.268897520167314
20240331,광안역 주변,수영구,광안동,S202,통신장비 수리,2,3347,0.05975500448162534
20240331,광안역 주변,수영구,광안동,S203,자동차 수리·세차,46,3347,1.3743651030773827
20240331,광안역 주변,수영구,광안동,S204,모터사이클 수리,6,3347,0.179265013444876
20240331,광안역 주변,수영구,광안동,S205,가전제품 수리,7,3347,0.20914251568568867
20240331,광안역 주변,수영구,광안동,S206,기타 가정용품 수리,8,3347,0.23902001792650135
20240331,광안역 주변,수영구,광안동,S207,이용·미용,315,3347,9.41141320585599
20240331,광안역 주변,수영구,광안동,S208,욕탕·신체관리,25,3347,0.7469375560203168
20240331,광안역 주변,수영구,광안동,S209,세탁,33,3347,0.985957573946818
20240331,광안역 주변,수영구,광안동,S210,장례식장 ,1,3347,0.02987750224081267
20240331,광안역 주변,수영구,광안동,S211,기타 개인,3,3347,0.089632506722438
20240331,신평역 주변,사하구,신평동,G202,자동차 부품 소매,3,1117,0.26857654431512984
20240331,신평역 주변,사하구,신평동,G203,모터사이클 소매,1,1117,0.08952551477170993
20240331,신평역 주변,사하구,신평동,G204,종합 소매,65,1117,5.819158460161146
20240331,신평역 주변,사하구,신평동,G205,식료품 소매,33,1117,2.954341987466428
20240331,신평역 주변,사하구,신평동,G206,음료 소매,1,1117,0.08952551477170993
20240331,신평역 주변,사하구,신평동,G207,담배 소매,3,1117,0.26857654431512984
20240331,신평역 주변,사하구,신평동,G208,가전·통신 소매,17,1117,1.521933751119069
20240331,신평역 주변,사하구,신평동,G209,섬유·의복·신발 소매,29,1117,2.596239928379588
20240331,신평역 주변,사하구,신평동,G210,철물·건설자재 소매,17,1117,1.521933751119069
20240331,신평역 주변,사하구,신평동,G211,가구 소매,2,1117,0.17905102954341987
20240331,신평역 주변,사하구,신평동,G212,기타 생활용품 소매,4,1117,0.35810205908683973
20240331,신평역 주변,사하구,신평동,G213,오락용품 소매,9,1117,0.8057296329453895
20240331,신평역 주변,사하구,신평동,G214,연료 소매,11,1117,0.9847806624888094
20240331,신평역 주변,사하구,신평동,G215,의약·화장품 소매,27,1117,2.4171888988361685
20240331,신평역 주변,사하구,신평동,G216,안경·정밀기기 소매,5,1117,0.4476275738585497
20240331,신평역 주변,사하구,신평동,G217,시계·귀금속 소매,7,1117,0.6266786034019696
20240331,신평역 주변,사하구,신평동,G218,장식품 소매,2,1117,0.17905102954341987
20240331,신평역 주변,사하구,신평동,G219,식물 소매,1,1117,0.08952551477170993
20240331,신평역 주변,사하구,신평동,G220,애완동물·용품 소매,5,1117,0.4476275738585497
20240331,신평역 주변,사하구,신평동,G221,기타 상품 소매,2,1117,0.17905102954341987
20240331,신평역 주변,사하구,신평동,G222,중고 상품 소매,6,1117,0.5371530886302597
20240331,신평역 주변,사하구,신평동,I101,일반 숙박,3,1117,0.26857654431512984
20240331,신평역 주변,사하구,신평동,I201,한식,195,1117,17.457475380483437
20240331,신평역 주변,사하구,신평동,I202,중식,12,1117,1.0743061772605194
20240331,신평역 주변,사하구,신평동,I203,일식,5,1117,0.4476275738585497
20240331,신평역 주변,사하구,신평동,I204,서양식,3,1117,0.26857654431512984
20240331,신평역 주변,사하구,신평동,I205,동남아시아,1,1117,0.08952551477170993
20240331,신평역 주변,사하구,신평동,I207,구내식당·뷔페,10,1117,0.8952551477170994
20240331,신평역 주변,사하구,신평동,I210,기타 간이,76,1117,6.803939122649955
20240331,신평역 주변,사하구,신평동,I211,주점,58,1117,5.192479856759176
20240331,신평역 주변,사하구,신평동,I212,비알코올 ,40,1117,3.5810205908683974
20240331,신평역 주변,사하구,신평동,L102,부동산 서비스,28,1117,2.5067144136078783
20240331,신평역 주변,사하구,신평동,M103,법무관련 ,1,1117,0.08952551477170993
20240331,신평역 주변,사하구,신평동,M104,회계·세무,1,1117,0.08952551477170993
20240331,신평역 주변,사하구,신평동,M105,광고,29,1117,2.596239928379588
20240331,신평역 주변,사하구,신평동,M107,본사·경영 컨설팅,17,1117,1.521933751119069
20240331,신평역 주변,사하구,신평동,M109,기술 서비스,14,1117,1.2533572068039391
20240331,신평역 주변,사하구,신평동,M111,수의,2,1117,0.17905102954341987
20240331,신평역 주변,사하구,신평동,M112,전문 디자인,44,1117,3.9391226499552374
20240331,신평역 주변,사하구,신평동,M113,사진 촬영,7,1117,0.6266786034019696
20240331,신평역 주변,사하구,신평동,M114,인쇄·제품제작,5,1117,0.4476275738585497
20240331,신평역 주변,사하구,신평동,M115,기타 전문 과학,2,1117,0.17905102954341987
20240331,신평역 주변,사하구,신평동,N101,시설관리,1,1117,0.08952551477170993
20240331,신평역 주변,사하구,신평동,N102,청소·방제,5,1117,0.4476275738585497
20240331,신평역 주변,사하구,신평동,N104,고용 알선,4,1117,0.35810205908683973
20240331,신평역 주변,사하구,신평동,N105,여행사·보조,2,1117,0.17905102954341987
20240331,신평역 주변,사하구,신평동,N108,기타 사업 서비스,5,1117,0.4476275738585497
20240331,신평역 주변,사하구,신평동,N109,운송장비 대여,6,1117,0.5371530886302597
20240331,신평역 주변,사하구,신평동,N110,가정용품 대여,2,1117,0.17905102954341987
20240331,신평역 주변,사하구,신평동,N111,산업용품 대여,3,1117,0.26857654431512984
20240331,신평역 주변,사하구,신평동,P105,일반 교육,17,1117,1.521933751119069
20240331,신평역 주변,사하구,신평동,P106,기타 교육,16,1117,1.432408236347359
20240331,신평역 주변,사하구,신평동,P107,교육 지원,3,1117,0.26857654431512984
20240331,신평역 주변,사하구,신평동,Q101,병원,2,1117,0.17905102954341987
20240331,신평역 주변,사하구,신평동,Q102,의원,2,1117,0.17905102954341987
20240331,신평역 주변,사하구,신평동,R102,도서관·사적지,5,1117,0.4476275738585497
20240331,신평역 주변,사하구,신평동,R103,스포츠 서비스,22,1117,1.9695613249776187
20240331,신평역 주변,사하구,신평동,R104,유원지·오락,36,1117,3.222918531781558
20240331,신평역 주변,사하구,신평동,S201,컴퓨터 수리,4,1117,0.35810205908683973
20240331,신평역 주변,사하구,신평동,S203,자동차 수리·세차,48,1117,4.297224709042077
20240331,신평역 주변,사하구,신평동,S204,모터사이클 수리,2,1117,0.17905102954341987
20240331,신평역 주변,사하구,신평동,S205,가전제품 수리,6,1117,0.5371530886302597
20240331,신평역 주변,사하구,신평동,S206,기타 가정용품 수리,4,1117,0.35810205908683973
20240331,신평역 주변,사하구,신평동,S207,이용·미용,90,1117,8.057296329453894
20240331,신평역 주변,사하구,신평동,S208,욕탕·신체관리,13,1117,1.1638316920322291
20240331,신평역 주변,사하구,신평동,S209,세탁,14,1117,1.2533572068039391
20240331,신평역 주변,사하구,신평동,S210,장례식장 ,2,1117,0.17905102954341987
20240630,부전시장,부산진구,부전동,G202,자동차 부품 소매,5,6403,0.07808839606434484
20240630,부전시장,부산진구,부전동,G204,종합 소매,170,6403,2.6550054661877245
20240630,부전시장,부산진구,부전동,G205,식료품 소매,184,6403,2.87365297516789
20240630,부전시장,부산진구,부전동,G206,음료 소매,10,6403,0.15617679212868968
20240630,부전시장,부산진구,부전동,G207,담배 소매,21,6403,0.3279712634702483
20240630,부전시장,부산진구,부전동,G208,가전·통신 소매,106,6403,1.6554739965641105
20240630,부전시장,부산진구,부전동,G209,섬유·의복·신발 소매,943,6403,14.727471497735436
20240630,부전시장,부산진구,부전동,G210,철물·건설자재 소매,16,6403,0.24988286740590349
20240630,부전시장,부산진구,부전동,G211,가구 소매,8,6403,0.12494143370295174
20240630,부전시장,부산진구,부전동,G212,기타 생활용품 소매,43,6403,0.6715602061533656
20240630,부전시장,부산진구,부전동,G213,오락용품 소매,41,6403,0.6403248477276277
20240630,부전시장,부산진구,부전동,G214,연료 소매,3,6403,0.046853037638606904
20240630,부전시장,부산진구,부전동,G215,의약·화장품 소매,204,6403,3.1860065594252696
20240630,부전시장,부산진구,부전동,G216,안경·정밀기기 소매,34,6403,0.5310010932375449
20240630,부전시장,부산진구,부전동,G217,시계·귀금속 소매,63,6403,0.983913790410745
20240630,부전시장,부산진구,부전동,G218,장식품 소매,17,6403,0.2655005466187724
20240630,부전시장,부산진구,부전동,G219,식물 소매,8,6403,0.12494143370295174
20240630,부전시장,부산진구,부전동,G220,애완동물·용품 소매,13,6403,0.20302982976729658
