snapshot,fieldStudyArea,district,lawDong,lawDongCode,category,shops,denominatorShops,sharePct,busanSameSnapshotSharePct,differenceFromBusanPercentagePoints
20240331,신평역 주변,사하구,신평동,2638010400,교육,36,1117,3.222918531781558,4.250574177012948,-1.0276556452313899
20240331,신평역 주변,사하구,신평동,2638010400,보건의료,4,1117,0.35810205908683973,1.3533934693605831,-0.9952914102737433
20240331,신평역 주변,사하구,신평동,2638010400,부동산,28,1117,2.5067144136078783,3.8937522883866458,-1.3870378747787675
20240331,신평역 주변,사하구,신평동,2638010400,소매,250,1117,22.381378692927484,25.371633991279168,-2.990255298351684
20240331,신평역 주변,사하구,신평동,2638010400,수리·개인,183,1117,16.38316920322292,12.642545684518856,3.740623518704064
20240331,신평역 주변,사하구,신평동,2638010400,숙박,3,1117,0.26857654431512984,1.5258130013647107,-1.2572364570495809
20240331,신평역 주변,사하구,신평동,2638010400,시설관리·임대,28,1117,2.5067144136078783,3.5176247378757113,-1.010910324267833
20240331,신평역 주변,사하구,신평동,2638010400,예술·스포츠,63,1117,5.640107430617726,3.8271810405086044,1.8129263901091215
20240331,신평역 주변,사하구,신평동,2638010400,음식,400,1117,35.810205908683976,35.40525247145758,0.4049534372263963
20240630,부전시장,부산진구,부전동,2623010300,과학·기술,522,6403,8.152428549117602,8.309298452289068,-0.15686990317146687
20240630,부전시장,부산진구,부전동,2623010300,교육,184,6403,2.87365297516789,4.255189503188853,-1.381536528020963
20240630,부전시장,부산진구,부전동,2623010300,보건의료,271,6403,4.23239106668749,1.3662645055584894,2.8661265611290005
20240630,부전시장,부산진구,부전동,2623010300,부동산,211,6403,3.2953303139153522,3.8821410678257573,-0.586810753910405
20240630,부전시장,부산진구,부전동,2623010300,소매,1987,6403,31.03232859597064,25.29552748100906,5.73680111496158
20240630,부전시장,부산진구,부전동,2623010300,수리·개인,590,6403,9.21443073559269,12.79468118238074,-3.5802504467880496
20240630,부전시장,부산진구,부전동,2623010300,숙박,158,6403,2.4675933156332968,1.549065009275433,0.9185283063578638
20240630,부전시장,부산진구,부전동,2623010300,시설관리·임대,202,6403,3.1547712009995315,3.551069044427293,-0.39629784342776153
20240630,부전시장,부산진구,부전동,2623010300,예술·스포츠,156,6403,2.436357957207559,3.817145333170844,-1.3807873759632847
20240630,부전시장,부산진구,부전동,2623010300,음식,2122,6403,33.14071528970795,35.17961842087446,-2.0389031311665136
20240630,못골시장,남구,대연동,2629010600,과학·기술,402,4447,9.039802113784575,8.309298452289068,0.730503661495506
20240630,못골시장,남구,대연동,2629010600,교육,255,4447,5.734202833370812,4.255189503188853,1.4790133301819592
20240630,못골시장,남구,대연동,2629010600,보건의료,80,4447,1.7989655947829997,1.3662645055584894,0.4327010892245102
20240630,못골시장,남구,대연동,2629010600,부동산,201,4447,4.519901056892287,3.8821410678257573,0.63775998906653
20240630,못골시장,남구,대연동,2629010600,소매,851,4447,19.13649651450416,25.29552748100906,-6.159030966504901
20240630,못골시장,남구,대연동,2629010600,수리·개인,573,4447,12.885091072633235,12.79468118238074,0.09040989025249502
20240630,못골시장,남구,대연동,2629010600,숙박,46,4447,1.034405217000225,1.549065009275433,-0.5146597922752081
20240630,못골시장,남구,대연동,2629010600,시설관리·임대,175,4447,3.935237238587812,3.551069044427293,0.38416819416051906
20240630,못골시장,남구,대연동,2629010600,예술·스포츠,198,4447,4.452439847087924,3.817145333170844,0.6352945139170805
20240630,못골시장,남구,대연동,2629010600,음식,1666,4447,37.463458511355974,35.17961842087446,2.2838400904815117
20240630,광안역 주변,수영구,광안동,2650010400,과학·기술,265,3314,7.996378998189499,8.309298452289068,-0.31291945409956945
20240630,광안역 주변,수영구,광안동,2650010400,교육,126,3314,3.8020519010259504,4.255189503188853,-0.45313760216290255
20240630,광안역 주변,수영구,광안동,2650010400,보건의료,61,3314,1.8406759203379601,1.3662645055584894,0.4744114147794707
20240630,광안역 주변,수영구,광안동,2650010400,부동산,173,3314,5.220277610138805,3.8821410678257573,1.3381365423130474
20240630,광안역 주변,수영구,광안동,2650010400,소매,626,3314,18.88955944477972,25.29552748100906,-6.405968036229339
20240630,광안역 주변,수영구,광안동,2650010400,수리·개인,464,3314,14.0012070006035,12.79468118238074,1.2065258182227598
20240630,광안역 주변,수영구,광안동,2650010400,숙박,111,3314,3.3494266747133374,1.549065009275433,1.8003616654379044
20240630,광안역 주변,수영구,광안동,2650010400,시설관리·임대,118,3314,3.56065178032589,3.551069044427293,0.00958273589859715
20240630,광안역 주변,수영구,광안동,2650010400,예술·스포츠,94,3314,2.836451418225709,3.817145333170844,-0.9806939149451348
20240630,광안역 주변,수영구,광안동,2650010400,음식,1276,3314,38.503319251659626,35.17961842087446,3.323700830785164
20240630,신평역 주변,사하구,신평동,2638010400,과학·기술,133,1114,11.938958707360861,8.309298452289068,3.6296602550717925
20240630,신평역 주변,사하구,신평동,2638010400,교육,36,1114,3.2315978456014363,4.255189503188853,-1.0235916575874167
20240630,신평역 주변,사하구,신평동,2638010400,보건의료,4,1114,0.3590664272890485,1.3662645055584894,-1.007198078269441
20240630,신평역 주변,사하구,신평동,2638010400,부동산,28,1114,2.5134649910233393,3.8821410678257573,-1.368676076802418
20240630,신평역 주변,사하구,신평동,2638010400,소매,246,1114,22.082585278276483,25.29552748100906,-3.2129422027325774
20240630,신평역 주변,사하구,신평동,2638010400,수리·개인,184,1114,16.51705565529623,12.79468118238074,3.7223744729154884
20240630,신평역 주변,사하구,신평동,2638010400,숙박,3,1114,0.26929982046678635,1.549065009275433,-1.2797651888086468
20240630,신평역 주변,사하구,신평동,2638010400,시설관리·임대,29,1114,2.6032315978456015,3.551069044427293,-0.9478374465816914
