district,rawDong,subtype,candidateCode,candidateName,year,referenceDate,total,age12Plus,age65Plus,age12PlusShare,age65PlusShare,0–11세Count,0–11세Share,12–19세Count,12–19세Share,20–39세Count,20–39세Share,40–64세Count,40–64세Share,65–79세Count,65–79세Share,80세 이상Count,80세 이상Share
연제구,연산동,심정지,2647070000,연산제6동,2024,2024-12-31,15370,14412,4661,0.9376707872478854,0.30325309043591414,958,0.06232921275211451,752,0.04892648015614834,3269,0.21268705270006505,5730,0.372804163955758,3554,0.23122966818477553,1107,0.07202342225113859
연제구,연산동,심정지,2647072000,연산제8동,2020,2020-12-31,14470,12934,2593,0.8938493434692467,0.1791983413959917,1536,0.10615065653075328,868,0.059986178299930894,3495,0.24153420870767103,5978,0.4131306150656531,2172,0.1501036627505183,421,0.029094678645473392
연제구,연산동,심정지,2647072000,연산제8동,2021,2021-12-31,14138,12722,2720,0.8998443910029708,0.19238930541802235,1416,0.10015560899702929,869,0.0614655538265667,3281,0.23206959966048946,5852,0.4139199320978922,2277,0.16105531192530767,443,0.03133399349271467
연제구,연산동,심정지,2647072000,연산제8동,2022,2022-12-31,13714,12394,2890,0.9037479947498906,0.21073355694910312,1320,0.09625200525010938,849,0.06190753974041126,2957,0.2156190753974041,5698,0.41548782266297213,2405,0.17536823683826747,485,0.035365320110835645
연제구,연산동,심정지,2647072000,연산제8동,2023,2023-12-31,13422,12200,3025,0.9089554462822232,0.225376247951125,1222,0.09104455371777678,837,0.06236030397854269,2776,0.2068246163015944,5562,0.41439427805096113,2512,0.18715541648040532,513,0.03822083147071972
연제구,연산동,심정지,2647072000,연산제8동,2024,2024-12-31,13076,11989,3153,0.9168706026307739,0.24112878556133374,1087,0.08312939736922606,847,0.06477516059957174,2632,0.2012847965738758,5357,0.40968185989599265,2592,0.19822575711226675,561,0.042903028449066995
연제구,연산동,심정지,2647073000,연산제9동,2020,2020-12-31,36161,33078,6405,0.914742402035342,0.17712452642349494,3083,0.08525759796465805,2441,0.0675036641685794,9092,0.25143109980365586,15140,0.41868311163961175,5222,0.1444097231824341,1183,0.03271480324106081
연제구,연산동,심정지,2647073000,연산제9동,2021,2021-12-31,35075,32205,6789,0.918175338560228,0.19355666429080542,2870,0.08182466143977192,2268,0.06466143977191732,8387,0.23911617961511047,14761,0.42084105488239487,5508,0.15703492516037063,1281,0.036521739130434785
연제구,연산동,심정지,2647073000,연산제9동,2022,2022-12-31,34098,31453,7139,0.9224294680039885,0.209367118306059,2645,0.0775705319960115,2203,0.06460789489119596,7831,0.2296615637280779,14280,0.41879289107865564,5770,0.16921813596105342,1369,0.04014898234500557
연제구,연산동,심정지,2647073000,연산제9동,2023,2023-12-31,32953,30614,7444,0.9290201195642278,0.2258974903650654,2339,0.07097988043577216,2126,0.06451612903225806,7261,0.220344126483173,13783,0.41826237368373137,6020,0.1826844293387552,1424,0.0432130610263102
