code,name,residential00,residential12,residentialNoonMidnightRatio,residentialPeakHour,workplace00,workplace12,workplaceNoonMidnightRatio,workplacePeakHour,visitor00,visitor12,visitorNoonMidnightRatio,visitorPeakHour,visitorNoonAboveMidnightMonths
2623064000,부산진구 부암1동,18385.166666666668,10152.583333333334,0.5522160074697899,04시,184.83333333333334,2697.5,14.594229035166816,16시,2828.0833333333335,4236.333333333333,1.4979520876918995,14시,12
2623066000,부산진구 부암3동,17203.583333333332,9706.833333333334,0.5642332266049225,04시,185.25,2278.4166666666665,12.299145299145298,16시,3274.75,4304.75,1.3145278265516451,12시,12
2623067000,부산진구 당감1동,18288.833333333332,10900.75,0.5960330985209554,04시,191.41666666666666,2705.8333333333335,14.135829342620811,15시,2472.0,3783.5,1.530542071197411,12시,12
2623068000,부산진구 당감2동,5795.583333333333,3128.8333333333335,0.5398651271801803,04시,63.833333333333336,718.25,11.251958224543081,16시,1421.1666666666667,1642.3333333333333,1.1556233141784917,11시,12
2623070000,부산진구 당감4동,8465.5,4673.666666666667,0.5520839485755912,04시,107.25,985.5833333333334,9.18958818958819,16시,1593.1666666666667,2159.6666666666665,1.3555811277330263,19시,12
2623071000,부산진구 가야1동,16187.916666666666,9750.416666666666,0.6023268384340171,04시,399.5833333333333,4427.833333333333,11.081126173096976,14시,3552.6666666666665,6380.0,1.7958341152186152,13시,12
2623072000,부산진구 가야2동,9452.25,5362.916666666667,0.5673693212374479,04시,125.0,1190.1666666666667,9.521333333333335,16시,2435.0,3228.4166666666665,1.3258384668035592,19시,12
2623074000,부산진구 개금1동,14635.833333333334,8405.416666666666,0.5743039344075613,04시,183.83333333333334,2205.0,11.99456029011786,16시,2500.5833333333335,3538.0,1.4148698636984702,18시,12
2623075000,부산진구 개금2동,8571.333333333334,5100.583333333333,0.5950746674963054,04시,129.91666666666666,1815.25,13.972418216805645,15시,2411.0,3623.1666666666665,1.5027651043826904,10시,12
2623076000,부산진구 개금3동,22109.0,12538.583333333334,0.567125755725421,04시,231.5,2696.1666666666665,11.646508279337652,16시,2604.5,3389.8333333333335,1.3015294042362577,11시,12
2623077000,부산진구 범천1동,10994.666666666666,6788.25,0.61741298811545,05시,270.8333333333333,6791.916666666667,25.077846153846156,14시,5029.583333333333,9444.666666666666,1.877822881285726,11시,12
2623078000,부산진구 범천2동,17595.833333333332,9878.916666666666,0.5614349988160076,04시,136.66666666666666,2059.8333333333335,15.071951219512197,16시,2263.3333333333335,2635.6666666666665,1.1645066273932252,11시,12
2626051000,동래구 수민동,22239.75,12925.583333333334,0.5811928341520626,04시,287.75,4185.0,14.543874891398783,15시,5250.166666666667,7303.0,1.3910034602076125,14시,12
2626052000,동래구 복산동,7755.0,4642.333333333333,0.5986245433053944,04시,61.333333333333336,1006.5,16.41032608695652,16시,884.6666666666666,1846.75,2.087509419743783,14시,12
2626054500,동래구 명륜동,21747.166666666668,12225.5,0.5621651862694756,04시,480.6666666666667,6427.416666666667,13.371879334257976,15시,6360.0,10515.083333333334,1.6533149895178199,19시,12
2626055000,동래구 온천1동,23987.25,13421.916666666666,0.5595437854137788,04시,364.4166666666667,5455.333333333333,14.970043448433568,15시,5764.0,9984.75,1.7322605829285218,14시,12
2626056000,동래구 온천2동,12224.083333333334,7100.833333333333,0.5808888192025304,04시,150.08333333333334,3257.4166666666665,21.704053303720155,14시,1958.6666666666667,4698.0,2.39857045609258,12시,12
2626057000,동래구 온천3동,32940.5,18436.333333333332,0.5596858983116022,04시,421.75,4184.833333333333,9.922544951590593,16시,14234.0,12713.666666666666,0.8931900145192262,23시,0
2626058000,동래구 사직1동,8239.083333333334,4788.166666666667,0.5811528386046182,04시,275.25,2361.25,8.578564940962762,16시,4067.8333333333335,5252.166666666667,1.2911459827098783,19시,12
2626059000,동래구 사직2동,20897.666666666668,11746.25,0.562084283731836,04시,287.5833333333333,3099.4166666666665,10.77745580991017,15시,3892.5833333333335,6337.0,1.6279677163837212,19시,12
2626060000,동래구 사직3동,15025.333333333334,8402.333333333334,0.559211110125122,04시,157.58333333333334,2366.5833333333335,15.017979904812268,16시,2190.5833333333335,3658.25,1.6699889679309163,19시,12
2626074000,동래구 안락1동,10433.25,6383.0,0.611794023913929,04시,178.5,2249.0,12.599439775910364,16시,2540.8333333333335,4229.583333333333,1.664644145621515,19시,12
2626075000,동래구 안락2동,23398.083333333332,13455.0,0.5750471014363713,04시,258.4166666666667,3965.1666666666665,15.344082554014832,16시,2996.4166666666665,5100.25,1.702116416831215,14시,12
2626076100,동래구 명장1동,12443.916666666666,7297.75,0.5864512111004708,04시,195.75,2288.0,11.68837803320562,15시,1849.1666666666667,2537.75,1.372374943668319,18시,12
2626076200,동래구 명장2동,8099.25,4666.0,0.5761027255610087,04시,76.83333333333333,1263.5,16.444685466377443,16시,1054.0,1464.6666666666667,1.3896268184693232,11시,12
2629051000,남구 대연1동,14619.25,9041.916666666666,0.618493880785038,04시,239.83333333333334,2859.5,11.922863099374565,16시,5063.75,8132.333333333333,1.6059902904632601,12시,12
2629053000,남구 대연3동,33456.916666666664,18814.583333333332,0.5623525778177407,04시,1027.1666666666667,11786.5,11.47476878143761,15시,7042.583333333333,13280.833333333334,1.8857900155009408,14시,12
2629054000,남구 대연4동,11895.916666666666,6488.416666666667,0.5454322561663316,04시,121.33333333333333,1462.0833333333333,12.050137362637363,14시,1689.5833333333333,2316.5,1.3710480887792849,13시,12
2629055000,남구 대연5동,13775.416666666666,8281.916666666666,0.6012098847584767,04시,152.91666666666666,2514.8333333333335,16.445776566757495,16시,1612.6666666666667,3375.5833333333335,2.0931686647374947,14시,12
2629056000,남구 대연6동,12355.416666666666,6770.75,0.5479985161703707,04시,121.91666666666667,2425.25,19.89268626110731,15시,1333.0833333333333,2335.3333333333335,1.7518284678377198,11시,12
2629057000,남구 용호1동,37362.416666666664,21365.166666666668,0.5718357797162479,04시,332.6666666666667,4548.916666666667,13.674098196392785,16시,3836.9166666666665,6170.583333333333,1.608214060769281,14시,12
